Logo,"ID Name club","Nom Club","Nom comlet","Code pays"
,skks_alb,Skenderbeu,"KF Skënderbeu Korçë",alb
,strmgsk_aut,"Sturm Graz","SK Sturm Graz",aut
,ziraik_aze,Zira,"Zirə FK",aze
,zultwasv_bel,"Zulte Waregem","SV Zulte Waregem",bel
,mkdfc_en,"Milton Keynes Dons","Milton Keynes Dons FC",eng
,fifc_bra,Figueirense,"Figueirense Futebol Clube",bra
,dnemogfc_brus,"Dnepr Mogilev","FC Dnepr Mogilev",brus
,rijehnk_cro,Rijeka,"HNK Rijeka",cro
,enosnpfc_cyp,Paralimni,"Enosis Neon Paralimni FC",cyp
,vikplzfc_cze,"Viktoria Plzeň","FC Viktoria Plzeň",cze
,vff_den,Viborg,"Viborg FF",den
,hjk_fin,HJK,"Helsingin Jalkapalloklubi",fin
,parisfc_fra,"Paris FC","Paris FC",fra
,armbdsc_ger,Arminia,"DSC Arminia Bielefeld",ger
,skoxfc_gre,Xanthi,"Skoda Xanthi FC",gre
,gyoetofc_hun,Győr,"Győri ETO FC",hun
,mactafc_isr,"Maccabi TA","Maccabi Tel Aviv FC",isr
,ussal1919srl_ita,Salernitana,"US Salernitana 1919 S.r.l.",ita
,fca_kaz,"FC Astana","FC Astana",kaz
,ventfk_lat,Ventspils,"FK Ventspils",lat
,shertfc_mol,Sheriff,"FC Sheriff Tiraspol",mol
,fczwo_ned,Zwolle,"PEC Zwolle",ned
,moldfk_nor,Molde,"Molde FK",nor
,wiskrask_pol,"Wisla Krakow","Wisła Kraków SK",pol
,cdf_por,Feirense,"CD Feirense",por
,vointcsu_rom,"Voinţa Sibiu","CSU Voinţa Sibiu",rom
,zenspbfc_rus,Zenit,"FC Zenit St. Petersburg",rus
,stmirfc_sco,"St Mirren","Saint Mirren FC",sco
,sevfc2_spa,"Sevilla II","Sevilla II FC",spa
,zilmsk_svk,Žilina,"MŠK Žilina",svk
,marnk_svn,Maribor,"NK Maribor",svn
,osk_swe,Örebro,"Örebro SK",swe
,sionfc_swi,Sion,"FC Sion",swi
,zorlfc_ukr,Zorya,"FC Zorya Luhansk",ukr
,tnsfc_wal,TNS,"The New Saints FC",wal
,auswfc_aut,"Austria Wien","FK Austria Wien",aut
,rapw_aut,"Rapid Wien","SK Rapid Wien",aut
,rbsalzfc_aut,Salzburg,"FC Red Bull Salzburg",aut
,qaraghfk_aze,Qarabağ,"FK Qarabağ Ağdam",aze
,intbakpak_aze,"Inter Baku","Inter Baki PIK",aze
,neftbakpfk_aze,Neftchi,"Neftchi PFK",aze
,gabfk_aze,Gabala,"Gabala FK",aze
,simzaqpak_aze,Simurq,"Simurq PIK",aze
,azalpfc_aze,AZAL,"AZAL PFK",aze
,xlfk_aze,Khazar,"Khazar Lankaran FK",aze
,sumfk_aze,Sumgayit,"Sumgayit FK",aze
,bakfk_aze,"FC Baku","FK Baki",aze
,anpfk_aze,Araz,"Araz-Naxçıvan PFK",aze
,kapazfk_aze,Kapaz,"Kapaz PFK",aze
,fkrevan_aze,Revan,"Rəvan FK",aze
,gentkaa_bel,"AA Gent","KAA Gent",bel
,andrsc_bel,Anderlecht,"RSC Anderlecht",bel
,rantwfc_bel,Antwerp,"Royal Antwerp FC",bel
,kbeershac_bel,Beerschot,"Koninklijke Beerschot AC",bel
,cbrukv_bel,Brugge,"Club Brugge KV",bel
,cebruksv_bel,"Cercle Brugge","Cercle Brugge KSV",bel
,rchasc_bel,Charleroi,"R. Charleroi SC",bel
,fcdend_bel,Dender,"FC Dender",bel
,fcmolbruss_bel,"FC Brussels","FC Molenbeek Brussels",bel
,genkkrc_bel,Genk,"KRC Genk",bel
,gerbeekfc_bel,"Germinal Beerschot","KFC Germinal Beerschot Antwerpen",bel
,kskhei_bel,Heist,"KSK Heist",bel
,eupkas_bel,"KAS Eupen","KAS Eupen",bel
,kortkv_bel,Kortrijk,"KV Kortrijk",bel
,kliesk_bel,Lierse,"K. Lierse SK",bel
,lokovksc_bel,Lokeren,"KSC Lokeren OV",bel
,lomutd_bel,"Lommel Utd","Lommel United",bel
,mechkv_bel,Mechelen,"KV Mechelen",bel
,raecmons_bel,Mons,"RAEC Mons",bel
,rexcmos_bel,Mouscron,"R. Excelsior Mouscron",bel
,rmousper_bel,"Mouscron Peruwelz","Royal Mouscron-Péruwelz",bel
,ohleuvfc_bel,"OH Leuven","FC Oud-Heverlee Leuven",bel
,kvoos_bel,Oostende,"KV Oostende",bel
,rbdbor_bel,"RBD Borinage","Royal Boussu Dour Borinage",bel
,rosksv_bel,Roeselare,"KSV Roeselare",bel
,rupboofc_bel,"Rupel Boom","Rupel Boom FC",bel
,strudvv_bel,Sint-Truidense,"K. Sint-Truidense VV",bel
,standwet_bel,"St. Wetteren","Standaard Wetteren",bel
,stanlie_bel,Standard,"R. Standard de Liège",bel
,kvktie_bel,Tienen,"KVK Tienen",bel
,rfctourn_bel,Tournai,"RFC Tournai",bel
,afctub_bel,Tubize,"AFC Tubize",bel
,kvturn_bel,Turnhout,"KV Turnhout",bel
,csvis_bel,Visé,"CS Visé",bel
,waasbev_bel,Waasland-Beveren,"KV Red Star Waasland",bel
,westkvc_bel,Westerlo,"KVC Westerlo",bel
,cskaspfc_blg,"CSKA Sofia","PFC CSKA Sofia",blg
,levspfc_blg,"Levski Sofia","PFC Levski Sofia",blg
,litlovpfc_blg,"Litex Lovech","PFC Litex Lovech",blg
,ludogorpfc_blg,Ludogorets,"PFC Ludogorets Razgrad",blg
,cruec_bra,Cruzeiro,"Cruzeiro Esporte Clube",bra
,flfc_bra,Fluminense,"Fluminense Football Club",bra
,sccp_bra,Corinthians,"Sport Club Corinthians Paulista",bra
,spfc_bra,"São Paulo","São Paulo Futebol Clube",bra
,sci_bra,Internacional,"Sport Club Internacional",bra
,gfbpa_bra,Grêmio,"Grêmio Foot-Ball Porto Alegrense",bra
,gec_bra,Goiás,"Goiás Esporte Clube",bra
,cam_bra,"Atlético Mineiro","Clube Atlético Mineiro",bra
,scr_bra,"Sport Recife","Sport Club do Recife",bra
,sfc_bra,Santos,"Santos Futebol Clube",bra
,sep_bra,Palmeiras,"Sociedade Esportiva Palmeiras",bra
,cap_bra,"Atlético Paranaense","Clube Atlético Paranaense",bra
,bfr_bra,Botafogo,"Botafogo de Futebol e Regatas",bra
,criec_bra,Criciuma,"Criciúma Esporte Clube",bra
,ecb_bra,Bahia,"Esporte Clube Bahia",bra
,acf_bra,Chapecoense,"Associação Chapecoense de Futebol",bra
,cfbc_bra,Coritiba,"Coritiba Foot Ball Club",bra
,ecv_bra,Vitória,"Esporte Clube Vitória",bra
,crf_bra,Flamengo,"Clube de Regatas do Flamengo",bra
,batebfc_brus,"BATE Borisov","FC BATE Borisov",brus
,dinmfc_brus,"Dinamo Minsk","FC Dinamo Minsk",brus
,dinzank_cro,"Dinamo Zagreb","NK Dinamo Zagreb",cro
,hajshnk_cro,"Hajduk Split","HNK Hajduk Split",cro
,aeklfc_cyp,AEK,"AEK Larnaca FC",cyp
,aellfc_cyp,AEL,"AEL Limassol FC",cyp
,aeppfc_cyp,AEP,"AEP Paphos FC",cyp
,apepkfc_cyp,APEP,"APEP Kyperounda FC",cyp
,apoelfc_cyp,APOEL,"APOEL FC",cyp
,apopkpfc_cyp,APOP,"APOP / Kinyras Peyias FC",cyp
,alkilfc_cyp,Alki,"Alki Larnaca FC",cyp
,anorffc_cyp,Anorthosis,"Anorthosis Famagusta FC",cyp
,apollfc_cyp,Apollon,"Apollon Limassol FC",cyp
,arislfc_cyp,"Aris Limassol","Aris Limassol FC",cyp
,doxkafc_cyp,Doxa,"Doxa Katokopia FC",cyp
,ermafc_cyp,Ermis,"Ermis Aradippou FC",cyp
,ethnafc_cyp,"Ethnikos Achnas","Ethnikos Achnas FC",cyp
,neasfc_cyp,"Nea Salamis","Nea Salamis FC",cyp
,olynfc_cyp,Olympiakos,"Olympiakos Nicosia FC",cyp
,omonac_cyp,Omonia,"AC Omonia",cyp
,slavpsk_cze,"Slavia Praha","SK Slavia Praha",cze
,slovliberfc_cze,Slovan,"FC Slovan Liberec",cze
,sparpac_cze,"Sparta Praha","AC Sparta Praha",cze
,agf_den,AGF,"Aarhus Gymnastikforening",den
,aabk_den,Aalborg,"Aalborg BK",den
,bif_den,Brøndby,"Brøndby IF",den
,efb_den,Esbjerg,"Esbjerg fB",den
,kogehb_den,"HB Køge","HB – Køge",den
,hobroik_den,"Hobro IK","Hobro Idræts Klub",den
,ach_den,Horsens,"AC Horsens",den
,fckob_den,København,"FC København",den
,lynbk_den,Lyngby,"Lyngby BK",den
,kcmd_den,Midtjylland,"FC Midtjylland",den
,fcnj_den,Nordsjælland,"FC Nordsjælland",den
,obk_den,Odense,"Odense BK",den
,rfc_den,Randers,"Randers FC",den
,sif_den,Silkeborg,"Silkeborg IF",den
,soe_den,SønderjyskE,SønderjyskE,den
,fcv_den,Vestsjælland,"FC Vestsjælland",den
,barnfc_en,Barnsley,"Barnsley FC",eng
,bcfc_en,Birmingham,"Birmingham City FC",eng
,brfc_en,Blackburn,"Blackburn Rovers FC",eng
,bpfc_en,Blackpool,"Blackpool FC",eng
,bwfc_en,Bolton,"Bolton Wanderers FC",eng
,brentfc_en,Brentford,"Brentford FC",eng
,bhafc_en,"Brighton and Hove Albion","Brighton and Hove Albion Football Club",eng
,briscfc_en,"Bristol City","Bristol City FC",eng
,burnfc_en,Burnley,"Burnley FC",eng
,bafc_en,Burton,"Burton Albion FC",eng
,cardcfc_en,Cardiff,"Cardiff City FC",eng
,chathfc_en,Charlton,"Charlton Athletic FC",eng
,covcfc_en,Coventry,"Coventry City FC",eng
,dcfc_en,Derby,"Derby County FC",eng
,doncrfc_en,Doncaster,"Doncaster Rovers FC",eng
,fhfc_en,Fulham,"Fulham FC",eng
,huddtfc_en,Huddersfield,"Huddersfield Town FC",eng
,hcafc_en,"Hull City","Hull City AFC",eng
,ipstfc_en,Ipswich,"Ipswich Town FC",eng
,leeutdafc_en,"Leeds Utd","Leeds United AFC",eng
,middfc_en,Middlesbrough,"Middlesbrough FC",eng
,millfc_en,Millwall,"Millwall FC",eng
,nottffc_en,"Nottm Forest","Nottingham Forest FC",eng
,petutdfc_en,Peterborough,"Peterborough United FC",eng
,plymafc_en,Plymouth,"Plymouth Argyle FC",eng
,portfc_en,Portsmouth,"Portsmouth FC",eng
,prenefc_en,Preston,"Preston North End FC",eng
,qprfc_en,QPR,"Queens Park Rangers FC",eng
,readfc_en,Reading,"Reading FC",eng
,rotutdfc_en,Rotherham,"Rotherham United FC",eng
,scutdfc_en,Scunthorpe,"Scunthorpe United FC",eng
,shefutd_en,"Sheffield Utd","Sheffield United FC",eng
,sheffwfc_en,"Sheffield Wed","Sheffield Wednesday FC",eng
,shefw_en,"Sheffield Wed","Sheffield Wednesday FC",eng
,wafc_en,Wigan,"Wigan Athletic FC",eng
,wwfc_en,Wolves,"Wolverhampton Wanderers FC",eng
,ytfc_en,"Yeovil Town","Yeovil Town FC",eng
,rcdsa_fra,Strasbourg,"RC Strasbourg Alsace",fra
,acajac_fra,Ajaccio,"AC Ajaccio",fra
,amiensc_fra,"Amiens SC","Amiens Sporting Club",fra
,angsco_fra,Angers,"Angers SCO",fra
,acaa_fra,Arles,"AC Arles-Avignon",fra
,ajau_fra,Auxerre,"AJ Auxerre",fra
,bolus_fra,Boulogne,"US Boulogne",fra
,stbr_fra,Brest,"Stade Brestois 29",fra
,cabast_fra,"CA Bastia","Cercle Athlétique Bastiais",fra
,bchatrx_fra,Châteauroux,"La Berrichonne Châteauroux",fra
,clerfa_fra,Clermont,"Clermont Foot Auvergne",fra
,dijfco_fra,Dijon,"Dijon FCO",fra
,fcistrop_fra,"FC Istres","FC Istres Ouest Provence",fra
,gfcoaj_fra,"GFCO Ajaccio","Gazélec FC Olympique Ajaccio",fra
,grefoot_fra,Grenoble,"Grenoble Foot 38",fra
,havrac_fra,Havre,"Havre AC",fra
,stlavmfc_fra,Lavallois,"Stade Lavallois Mayenne FC",fra
,lemanuc_fra,"Le Mans","Le Mans UC 72",fra
,luzap_fra,"Luzenac AP","Luzenac Ariège Pyrénées",fra
,asnl_fra,Nancy,"AS Nancy-Lorraine",fra
,nimolyfc_fra,Nimes,"Nîmes Olympique FC",fra
,chniofc_fra,Niort,"Chamois Niortais FC",fra
,nimesoly_fra,Nîmes,"Nîmes Olympique",fra
,cssedard_fra,Sedan,"CS Sedan Ardennes",fra
,fcsm_fra,Sochaux,"FC Sochaux-Montbéliard",fra
,tourfc_fra,Tours,"Tours FC",fra
,estrofc_fra,"Troyes AC","ES Troyes AC",fra
,uscl_fra,"US Créteil","US Créteil-Lusitanos",fra
,usorlelf_fra,"US Orléans","US Orléans Loiret Football",fra
,vafc_fra,Valenciennes,"Valenciennes FC",fra
,vannoc_fra,Vannes,"Vannes OC",fra
,rsfc93_fra,"Red Star","Red Star FC",fra
,fcbp_fra,"Bourg Peronnas","FC Bourg-Péronnas",fra
,alemaach_ger,Aachen,"Alemannia Aachen",ger
,vfraalen_ger,Aalen,"VfR 1921 Aalen",ger
,bochvfl_ger,Bochum,"VfL Bochum 1848",ger
,svdarm1898_ger,Darmstadt,"SV Darmstadt 1898",ger
,dyndresg_ger,Dresden,"SG Dynamo Dresden",ger
,msvduisb_ger,Duisburg,"MSV Duisburg",ger
,btsvein_ger,"Eintracht Braunschweig","BTSV Eintracht Braunschweig",ger
,energcfc_ger,Energie,"FC Energie Cottbus",ger
,fcerzgaue_ger,Erzgebirge,"FC Erzgebirge Aue",ger
,fortdus1895_ger,"Fortuna Dusseldorf","Düsseldorfer TuS Fortuna 1895",ger
,fsvfrank_ger,Frankfurt,"FSV Frankfurt",ger
,spvgggf_ger,"Greuther Fürth","SpVgg Greuther Fürth",ger
,hansarost_ger,"Hansa Rostock","F.C. Hansa Rostock e.V.",ger
,1fcheid1846_ger,Heidenheim,"1. FC Heidenheim 1846",ger
,fcingold04_ger,Ingolstadt,"FC Ingolstadt 04",ger
,kaifc_ger,Kaiserslautern,"1. FC Kaiserslautern",ger
,karsc_ger,Karlsruher,"Karlsruher SC",ger
,tsvmunch1860_ger,"München 1860","TSV 1860 München",ger
,nurnfc_ger,Nürnberg,"1. FC Nürnberg",ger
,scrwoberh1904_ger,Oberhausen,"SC Rot-Weiß Oberhausen 1904",ger
,vflosn_ger,Osnabrück,"VfL Osnabrück",ger
,rbleipzev_ger,"RB Leipzig","RasenBallsport Leipzig e.V.",ger
,jahnregssv_ger,Regensburg,"SSV Jahn Regensburg",ger
,sv1916sandhaus_ger,Sandhausen,"SV 1916 Sandhausen",ger
,spafc_ger,"St Pauli","FC St. Pauli",ger
,fcberuni_ger,"Union Berlin","1. FC Union Berlin",ger
,wkfc_ger,"Würzburger Kickers","FC Würzburger Kickers e.V.",ger
,aekfc_gre,AEK,"AEK Athens FC",gre
,gsappsm_gre,"Apollon Smyrnis","GS Apollon Smyrnis",gre
,aristfc_gre,Aris,"Aris Thessaloniki FC",gre
,atrfc_gre,Atromitos,"Atromitos FC",gre
,doxdrgs_gre,"Doxa Drama","G.S. Doxa Drama",gre
,ergfc_gre,Ergotelis,"Ergotelis FC",gre
,pasgiafc_gre,Giannina,"PAS Giannina FC",gre
,irakfc_gre,Iraklis,"Iraklis FC",gre
,kallfc_gre,Kallonis,"Kalloni Lekanopedio FC",gre
,kavfc_gre,Kavala,"FC Kavala",gre
,kerfc_gre,Kerkyra,"Kerkyra FC",gre
,larfc_gre,Larissa,"Larissa FC",gre
,levfc_gre,Levadiakos,"Levadiakos FC",gre
,ofifc_gre,OFI,"OFI Crete FC",gre
,olyvfc_gre,"Olymp. Volou","Olympiakos Volou FC",gre
,olyfc_gre,Olympiacos,"Olympiacos FC",gre
,paenikivol_gre,"Niki Volos","PAE Niki Volou",gre
,paokfc_gre,PAOK,"PAOK FC",gre
,panafc_gre,Panathinaikos,"Panathinaikos FC",gre
,panetgfs_gre,Panetolikos,"Panetolikos G.F.S.",gre
,panigss_gre,Panionios,"Panionios GSS",gre
,pansfc_gre,Panserraikos,"Panserraikos FC",gre
,pantfc_gre,Panthrakikos,"Panthrakikos FC",gre
,aoplatch_gre,Platanias,"AO Platania Chanion",gre
,astetfc_gre,Tripolis,"Asteras Tripolis FC",gre
,verofc_gre,Veria,"Veria FC",gre
,debvsc_hun,Debreceni,"Debreceni VSC",hun
,kaz_int,Kazakhstan,Kazakhstan,int
,svk_int,Slovakia,Slovakia,int
,pry_int,Paraguay,Paraguay,int
,ksv_int,Kosovo,Kosovo,int
,shamrofc_ire,"Shamrock Rovers","Shamrock Rovers Football Club",ire
,haptafc_isr,"Hapoel TA","Hapoel Tel Aviv FC",isr
,machfc_isr,Maccabi,"Maccabi Haifa FC",isr
,ucalblef_ita,AlbinoLeffe,"UC AlbinoLeffe",ita
,ascca1898_ita,Ascoli,"Ascoli Calcio 1898",ita
,asavel1912_ita,Avellino,"AS Avellino 1912",ita
,barias_ita,Bari,"AS Bari",ita
,bolfc_ita,Bologna,"Bologna FC",ita
,bresca_ita,Brescia,"Brescia Calcio",ita
,carpifc1909_ita,Carpi,"Carpi FC 1909",ita
,cataca_ita,Catania,"Calcio Catania",ita
,ascitta_ita,Cittadella,"AS Cittadella",ita
,fccrot_ita,Crotone,"FC Crotone",ita
,froca_ita,Frosinone,"Frosinone Calcio",ita
,usgrofc_ita,Grosseto,"US Grosseto FC",ita
,gubb1910as_ita,Gubbio,"AS Gubbio 1910",ita
,juvestabss_ita,"Juve Stabia","SS Juve Stabia",ita
,uslatinc_ita,Latina,"US Latina Calcio",ita
,lecus_ita,Lecce,"US Lecce",ita
,livcaas_ita,Livorno,"AS Livorno Calcio",ita
,modfc_ita,Modena,"Modena FC",ita
,noceasg_ita,Nocerina,"ASG Nocerina",ita
